country,city,latitude,city_id,longitude
United States,"Ashburn, VA",39.0437567,33474,-77.4874416
United States,"Long Island, NY",40.8517821,34013,-73.099185269027
United States,"Toms River, NJ",39.9537359,34096,-74.1979576
United States,"Pooler, GA",32.115481,34280,-81.2470574
United States,"Richland, WA",46.2856907,34296,-119.2844621
United States,"Gresham, OR",45.5059203,34311,-122.4486119
United States,"Corvallis, OR",44.5645659,34457,-123.2620435
United States,"Kansas City, KS",39.106666666667,34571,-94.676388888889
United States,"Gilbert, AZ",33.3528264,34585,-111.789027
United States,"Alameda, CA",37.7652065,34698,-122.2416355
United States,"Sugar Land, TX",29.6196787,34731,-95.6349463
United States,"Elmira, NY",42.0897965,34781,-76.8077338
United States,"Glendale, AZ",33.558997,35589,-112.404682963895
United States,"Akron, OH",41.0814447,3386,-81.5190053
United States,"Albuquerque, NM",35.0844909,3387,-106.6511367
United States,"Anaheim, CA",33.8352932,3388,-117.9145036
United States,"Anchorage, AK",61.2180556,3389,-149.9002778
United States,"Arlington, VA",38.8799697,3390,-77.1067698
United States,"Atlanta, GA",33.7490987,3391,-84.3901849
United States,"Austin, TX",30.267153,3393,-97.7430608
United States,"Bakersfield, CA",35.3732921,3395,-119.0187125
United States,"Baltimore, MD",39.2903848,3396,-76.6121893
United States,"Baton Rouge, LA",30.4582829,3397,-91.1403196
United States,"Birmingham, AL",33.5206608,3398,-86.80249
United States,"Boise, ID",43.6187102,3399,-116.2146068
United States,"Boston, MA",42.35892,3400,-71.05781
United States,"Buffalo, NY",42.8864468,3402,-78.8783689
United States,"Charlotte, NC",35.2270869,3403,-80.8431267
United States,"Chicago, IL",41.8781136,3405,-87.6297982
United States,"Cincinnati, OH",39.1014537,3406,-84.5124602
United States,"Cleveland, OH",41.49932,3407,-81.6943605
United States,"Colorado Springs, CO",38.8338816,3408,-104.8213634
United States,"Columbus, OH",39.962208,3409,-83.000676
United States,"Corpus Christi, TX",27.8005828,3410,-97.396381
United States,"Dallas, TX",32.7761963,3411,-96.7968994
United States,"Denver, CO",39.7391536,3412,-104.9847034
United States,"Des Moines, IA",41.6005448,3413,-93.6091064
United States,"Detroit, MI",42.331427,3414,-83.0457538
United States,"Durham, NC",35.9940329,3415,-78.898619
United States,"El Paso, TX",31.7587198,3416,-106.4869314
United States,"Fort Wayne, IN",41.079273,3417,-85.1393513
United States,"Fort Worth, TX",32.753177,3418,-97.3327459
United States,"Fremont, CA",37.5482697,3419,-121.9885719
United States,"Fresno, CA",36.7477272,3420,-119.7723661
United States,"Garland, TX",32.912624,3421,-96.6388833
United States,"Glendale, CA",34.1425078,3422,-118.255075
United States,"Grand Rapids, MI",42.9633599,3423,-85.6680863
United States,"Greensboro, NC",36.0726354,3424,-79.7919754
United States,"Hempstead, NY",40.7062128,3425,-73.6187397
United States,"Honolulu, HI",21.3069444,3427,-157.8583333
United States,"Houston, TX",29.7604267,3428,-95.3698028
United States,"Huntington, WV",38.4192496,3429,-82.445154
United States,"Huntington Beach, CA",33.660297,3430,-117.9992265
United States,"Indianapolis, IN",39.7683765,3431,-86.1580423
United States,"Irving, TX",32.8140177,3432,-96.9488945
United States,"Jackson, MS",32.2987573,3434,-90.1848103
United States,"Jacksonville, FL",30.3321838,3435,-81.655651
United States,"Jersey City, NJ",40.7281575,3436,-74.0776417
United States,"Kansas City, MO",39.0997265,3437,-94.5785667
United States,"Las Vegas, NV",36.1699412,3438,-115.1398296
United States,"Lincoln, NE",40.8000554,3439,-96.6674005
United States,"Little Rock, AR",34.7464809,3440,-92.2895948
United States,"Long Beach, CA",33.8041667,3441,-118.1580556
United States,"Los Angeles, CA",34.0522342,3442,-118.2436849
United States,"Louisville, KY",38.2542376,3443,-85.759407
United States,"Lubbock, TX",33.6720835,3444,-101.858005715545
United States,"Madison, WI",43.0730517,3445,-89.4012302
United States,"Memphis, TN",35.1495343,3446,-90.0489801
United States,"Mesa, AZ",33.4151843,3447,-111.8314724
United States,"Miami, FL",25.7742657,3448,-80.1936589
United States,"Milwaukee, WI",43.0389025,3449,-87.9064736
United States,"Minneapolis, MN",44.9799654,3450,-93.2638361
United States,"Mobile, AL",30.6943566,3451,-88.0430541
United States,"Modesto, CA",37.6930765,3452,-120.94778707347
United States,"Montgomery, AL",32.3668052,3453,-86.2999689
United States,"New Orleans, LA",29.9499323,3454,-90.0701156
United States,"New York, NY",40.7127837,3455,-74.0059413
United States,"Newark, NJ",40.735657,3456,-74.1723667
United States,"Norfolk, VA",36.8507689,3457,-76.2858726
United States,"Oakland, CA",37.8043637,3459,-122.2711137
United States,"Oklahoma City, OK",35.4675602,3460,-97.5164276
United States,"Omaha, NE",41.2523634,3461,-95.99798829999999
United States,"Orlando, FL",28.5383355,3462,-81.3792365
United States,"Philadelphia, PA",39.952335,3465,-75.163789
United States,"Phoenix, AZ",33.4483771,3466,-112.0740373
United States,"Pittsburgh, PA",40.4406248,3467,-79.9958864
United States,"Plano, TX",33.0198431,3468,-96.6988856
United States,"Portland, OR",45.5230622,3469,-122.6764816
United States,"Raleigh, NC",35.7804015,3470,-78.6390779
United States,"Reno, NV",39.5296329,3471,-119.8138027
United States,"Richmond, VA",37.542979,3472,-77.469092
United States,"Riverside, CA",33.9533487,3473,-117.3961564
United States,"Rochester, NY",43.1572851,3474,-77.6152141
United States,"Sacramento, CA",38.5815719,3475,-121.4943996
United States,"Saint Louis, MO",38.6272733,3476,-90.1978889
United States,"Saint Paul, MN",44.9541667,3477,-93.1138889
United States,"Saint Petersburg, FL",27.7708606,3478,-82.6792661
United States,"Salt Lake City, UT",40.7607793,3479,-111.8910474
United States,"San Antonio, TX",29.4241219,3480,-98.4936282
United States,"San Diego, CA",32.715738,3482,-117.1610838
United States,"San Francisco, CA",37.775206,3483,-122.419209
United States,"San Jose, CA",37.3382082,3484,-121.8863286
United States,"Santa Ana, CA",33.7455731,3485,-117.8678338
United States,"Scottsdale, AZ",33.4941704,3486,-111.9260519
United States,"Seattle, WA",47.6038321,3487,-122.3300624
United States,"Spokane, WA",47.6587802,3489,-117.4260466
United States,"Stockton, CA",37.9577016,3490,-121.2907796
