country,city,latitude,longitude,city_id
United States,"Ashburn, VA",39.0437567,-77.4874416,33474
United States,"Long Island, NY",40.8517821,-73.099185269027,34013
United States,"Toms River, NJ",39.9537359,-74.1979576,34096
United States,"Pooler, GA",32.115481,-81.2470574,34280
United States,"Richland, WA",46.2856907,-119.2844621,34296
United States,"Gresham, OR",45.5059203,-122.44861189999999,34311
United States,"Corvallis, OR",44.5645659,-123.2620435,34457
United States,"Kansas City, KS",39.106666666666996,-94.67638888888901,34571
United States,"Gilbert, AZ",33.3528264,-111.789027,34585
United States,"Alameda, CA",37.7652065,-122.2416355,34698
United States,"Sugar Land, TX",29.6196787,-95.6349463,34731
United States,"Elmira, NY",42.089796500000006,-76.8077338,34781
United States,"Glendale, AZ",33.558997,-112.404682963895,35589
United States,"Akron, OH",41.081444700000006,-81.51900529999999,3386
United States,"Albuquerque, NM",35.0844909,-106.65113670000001,3387
United States,"Anaheim, CA",33.8352932,-117.91450359999999,3388
United States,"Anchorage, AK",61.2180556,-149.90027780000003,3389
United States,"Arlington, VA",38.879969700000004,-77.1067698,3390
United States,"Atlanta, GA",33.749098700000005,-84.39018490000001,3391
United States,"Austin, TX",30.267153000000004,-97.7430608,3393
United States,"Bakersfield, CA",35.3732921,-119.0187125,3395
United States,"Baltimore, MD",39.2903848,-76.6121893,3396
United States,"Baton Rouge, LA",30.458282899999997,-91.1403196,3397
United States,"Birmingham, AL",33.5206608,-86.80249,3398
United States,"Boise, ID",43.6187102,-116.2146068,3399
United States,"Boston, MA",42.35892,-71.05781,3400
United States,"Buffalo, NY",42.8864468,-78.8783689,3402
United States,"Charlotte, NC",35.2270869,-80.8431267,3403
United States,"Chicago, IL",41.8781136,-87.62979820000001,3405
United States,"Cincinnati, OH",39.1014537,-84.5124602,3406
United States,"Cleveland, OH",41.499320000000004,-81.6943605,3407
United States,"Colorado Springs, CO",38.8338816,-104.82136340000001,3408
United States,"Columbus, OH",39.962208000000004,-83.000676,3409
United States,"Corpus Christi, TX",27.800582799999997,-97.396381,3410
United States,"Dallas, TX",32.7761963,-96.7968994,3411
United States,"Denver, CO",39.7391536,-104.9847034,3412
United States,"Des Moines, IA",41.600544799999994,-93.6091064,3413
United States,"Detroit, MI",42.331427000000005,-83.0457538,3414
United States,"Durham, NC",35.99403289999999,-78.898619,3415
United States,"El Paso, TX",31.758719800000005,-106.4869314,3416
United States,"Fort Wayne, IN",41.079273,-85.13935129999999,3417
United States,"Fort Worth, TX",32.753177,-97.3327459,3418
United States,"Fremont, CA",37.548269700000006,-121.98857190000001,3419
United States,"Fresno, CA",36.74772720000001,-119.77236609999999,3420
United States,"Garland, TX",32.912624,-96.6388833,3421
United States,"Glendale, CA",34.1425078,-118.255075,3422
United States,"Grand Rapids, MI",42.9633599,-85.6680863,3423
United States,"Greensboro, NC",36.072635399999996,-79.79197540000001,3424
United States,"Hempstead, NY",40.706212799999996,-73.6187397,3425
United States,"Honolulu, HI",21.3069444,-157.8583333,3427
United States,"Houston, TX",29.7604267,-95.36980279999999,3428
United States,"Huntington, WV",38.41924960000001,-82.445154,3429
United States,"Huntington Beach, CA",33.660297,-117.99922649999999,3430
United States,"Indianapolis, IN",39.7683765,-86.15804229999999,3431
United States,"Irving, TX",32.814017699999994,-96.9488945,3432
United States,"Jackson, MS",32.298757300000005,-90.1848103,3434
United States,"Jacksonville, FL",30.3321838,-81.655651,3435
United States,"Jersey City, NJ",40.7281575,-74.0776417,3436
United States,"Kansas City, MO",39.0997265,-94.5785667,3437
United States,"Las Vegas, NV",36.169941200000004,-115.13982959999998,3438
United States,"Lincoln, NE",40.8000554,-96.6674005,3439
United States,"Little Rock, AR",34.7464809,-92.2895948,3440
United States,"Long Beach, CA",33.8041667,-118.15805559999998,3441
United States,"Los Angeles, CA",34.0522342,-118.24368490000002,3442
United States,"Louisville, KY",38.254237599999996,-85.759407,3443
United States,"Lubbock, TX",33.6720835,-101.858005715545,3444
United States,"Madison, WI",43.07305170000001,-89.4012302,3445
United States,"Memphis, TN",35.1495343,-90.0489801,3446
United States,"Mesa, AZ",33.4151843,-111.83147240000001,3447
United States,"Miami, FL",25.7742657,-80.1936589,3448
United States,"Milwaukee, WI",43.0389025,-87.9064736,3449
United States,"Minneapolis, MN",44.9799654,-93.26383609999999,3450
United States,"Mobile, AL",30.6943566,-88.04305409999999,3451
United States,"Modesto, CA",37.693076500000004,-120.94778707347,3452
United States,"Montgomery, AL",32.366805199999995,-86.2999689,3453
United States,"New Orleans, LA",29.949932300000004,-90.0701156,3454
United States,"New York, NY",40.7127837,-74.00594129999999,3455
United States,"Newark, NJ",40.735657,-74.1723667,3456
United States,"Norfolk, VA",36.8507689,-76.28587259999999,3457
United States,"Oakland, CA",37.8043637,-122.27111370000002,3459
United States,"Oklahoma City, OK",35.4675602,-97.5164276,3460
United States,"Omaha, NE",41.25236339999999,-95.9979883,3461
United States,"Orlando, FL",28.5383355,-81.3792365,3462
United States,"Philadelphia, PA",39.952335,-75.16378900000001,3465
United States,"Phoenix, AZ",33.4483771,-112.07403729999999,3466
United States,"Pittsburgh, PA",40.440624799999995,-79.9958864,3467
United States,"Plano, TX",33.0198431,-96.6988856,3468
United States,"Portland, OR",45.523062200000005,-122.67648159999999,3469
United States,"Raleigh, NC",35.7804015,-78.6390779,3470
United States,"Reno, NV",39.529632899999996,-119.8138027,3471
United States,"Richmond, VA",37.542978999999995,-77.469092,3472
United States,"Riverside, CA",33.9533487,-117.3961564,3473
United States,"Rochester, NY",43.1572851,-77.61521409999999,3474
United States,"Sacramento, CA",38.5815719,-121.49439960000001,3475
United States,"Saint Louis, MO",38.62727329999999,-90.19788890000001,3476
United States,"Saint Paul, MN",44.9541667,-93.1138889,3477
United States,"Saint Petersburg, FL",27.770860600000002,-82.67926609999999,3478
United States,"Salt Lake City, UT",40.760779299999996,-111.89104740000002,3479
United States,"San Antonio, TX",29.4241219,-98.4936282,3480
United States,"San Diego, CA",32.715738,-117.1610838,3482
United States,"San Francisco, CA",37.775206,-122.41920900000001,3483
United States,"San Jose, CA",37.338208200000004,-121.88632859999998,3484
United States,"Santa Ana, CA",33.7455731,-117.8678338,3485
United States,"Scottsdale, AZ",33.494170399999994,-111.9260519,3486
United States,"Seattle, WA",47.6038321,-122.3300624,3487
United States,"Spokane, WA",47.6587802,-117.4260466,3489
United States,"Stockton, CA",37.9577016,-121.29077959999998,3490
United States,"Tacoma, WA",47.252876799999996,-122.4442906,3491
United States,"Tampa, FL",27.9475216,-82.4584279,3492
United States,"Toledo, OH",41.6639383,-83.555212,3493
United States,"Tucson, AZ",32.2217429,-110.926479,3494
United States,"Tulsa, OK",36.1539816,-95.992775,3495
United States,"Virginia Beach, VA",36.8529263,-75.977985,3496
United States,"Washington, DC",38.9071923,-77.03687070000001,3497
United States,"Wichita, KS",37.68717609999999,-97.330053,3498
United States,"Winston-Salem, NC",36.0998596,-80.24421600000001,3499
United States,"Yonkers, NY",40.9312099,-73.8987469,3500
United States,"Knoxville, TN",35.96063839999999,-83.9207392,7420
United States,"Burlington, VT",44.475882500000004,-73.21207199999999,7450
United States,"Stamford, CT",41.0534302,-73.53873409999999,7487
United States,"Savannah, GA",32.0835407,-81.0998342,7493
United States,"Santa Fe, NM",35.686975200000006,-105.937799,7518
United States,"Harrisburg, PA",40.2737002,-76.8844179,7536
United States,"Joplin, MO",37.0842271,-94.513281,7557
United States,"Santa Rosa, CA",38.4404674,-122.7144314,7567
United States,"Naples, FL",26.142035800000002,-81.7948103,7572
United States,"Rapid City, SD",44.0805434,-103.2310149,7574
United States,"Germantown, MD",39.416774,-76.4585739,7580
United States,"Binghamton, NY",42.0986867,-75.9179738,7585
United States,"Hartford, CT",41.7637111,-72.6850932,7589
United States,"Urbana, IL",40.1105875,-88.2072697,7590
United States,"Appleton, WI",44.2619309,-88.4153847,7593
United States,"Las Cruces, NM",32.3199396,-106.7636538,7605
